Carat Weight,Cut,Color,Clarity,Polish,Symmetry,Report,Price
1.53,Ideal,E,SI1,ID,ID,AGSL,12791
1.5,Fair,F,SI1,VG,VG,GIA,10450
1.01,Good,E,SI1,G,G,GIA,5161
2.51,Very Good,G,VS2,VG,VG,GIA,34361
1.01,Good,I,SI1,VG,VG,GIA,4238
1.01,Very Good,F,VS2,VG,VG,GIA,6257
0.86,Ideal,E,SI1,EX,EX,GIA,4228
2.0,Good,I,SI1,EX,VG,GIA,14321
1.14,Very Good,H,VS2,VG,G,GIA,5640
1.5,Very Good,G,SI1,VG,VG,GIA,10019
2.1,Signature-Ideal,F,SI1,ID,ID,AGSL,26278
0.91,Fair,F,SI1,VG,G,GIA,4036
1.62,Very Good,F,SI1,EX,VG,GIA,12202
0.91,Very Good,F,SI1,VG,EX,GIA,4188
1.71,Very Good,F,VS1,VG,VG,GIA,17768
1.01,Ideal,F,VS2,EX,EX,GIA,7411
1.38,Ideal,G,VVS1,EX,VG,GIA,12684
1.01,Very Good,F,VVS1,EX,EX,GIA,9782
1.21,Very Good,D,SI1,VG,EX,GIA,7597
1.14,Good,H,SI1,VG,VG,GIA,5487
1.01,Good,E,SI1,VG,VG,GIA,4989
2.04,Ideal,I,SI1,EX,EX,GIA,16718
2.17,Ideal,F,SI1,VG,EX,GIA,22930
1.57,Very Good,F,VVS1,EX,EX,GIA,21167
1.2,Ideal,I,VS2,EX,EX,GIA,6303
1.01,Very Good,D,SI1,VG,VG,GIA,5619
1.15,Very Good,H,VS2,G,G,GIA,5831
1.22,Very Good,H,SI1,G,VG,GIA,6350
1.33,Ideal,G,VVS2,EX,EX,GIA,12345
2.0,Very Good,I,SI1,VG,G,GIA,15381
1.01,Good,G,SI1,VG,G,GIA,4884
2.03,Ideal,I,VVS1,ID,ID,AGSL,21437
0.9,Ideal,H,VS2,VG,VG,GIA,4369
1.16,Very Good,D,SI1,EX,EX,GIA,5695
2.5,Very Good,I,VS2,VG,G,GIA,20894
1.29,Ideal,H,SI1,ID,ID,AGSL,7036
0.92,Very Good,E,VS2,EX,EX,GIA,5044
1.1,Very Good,H,SI1,VG,EX,GIA,4938
2.01,Ideal,H,VS2,ID,ID,AGSL,20296
1.01,Ideal,F,VS1,VG,VG,GIA,7870
1.09,Ideal,G,VS1,EX,EX,GIA,7992
1.01,Good,F,VS2,G,VG,GIA,5700
0.91,Very Good,H,SI1,EX,VG,GIA,3998
1.5,Ideal,H,VVS2,ID,ID,AGSL,12187
2.07,Very Good,I,VS2,VG,EX,GIA,16378
0.79,Very Good,E,VVS2,VG,VG,GIA,4585
1.06,Good,H,SI1,VG,VG,GIA,4828
2.43,Ideal,E,SI1,EX,EX,GIA,30108
1.09,Ideal,D,VVS2,EX,EX,GIA,12185
2.01,Good,G,IF,EX,VG,GIA,27624
1.01,Good,H,SI1,G,G,GIA,5197
1.53,Ideal,D,VS2,EX,EX,GIA,17223
1.01,Good,F,SI1,G,VG,GIA,5008
0.88,Ideal,H,VVS1,VG,VG,GIA,4334
0.8,Very Good,E,VS1,EX,VG,GIA,3831
0.91,Fair,F,SI1,VG,VG,GIA,4036
1.28,Ideal,G,VS1,G,EX,GIA,9372
0.75,Ideal,H,SI1,VG,VG,GIA,2523
